,Category,Engine type,"Transmission type,final drive",Displacement ccm,Fuel capacity liters,Power HP,Front brakes,Rear brakes
1,Super motard,"V2, four-stroke",Chain,896.1,12.0,95.2,Double disc,Single disc
2,Sport,"Single cylinder, four-stroke",Chain,124.2,14.5,28.2,Single disc,Single disc
3,Sport,"Single cylinder, four-stroke",Chain,124.2,14.5,15.0,Single disc,Single disc
5,Sport,"Twin, four-stroke",Chain,659.0,15.0,100.0,Double disc,Single disc
6,Sport,"Twin, four-stroke",Chain,659.0,15.0,46.9,Double disc,Single disc
11,Enduro / offroad,"Single cylinder, four-stroke",Chain,124.2,7.5,15.0,Single disc,Single disc
12,Enduro / offroad,"Single cylinder, four-stroke",Chain,124.2,7.5,15.0,Single disc,Single disc
17,Scooter,"Single cylinder, two-stroke",Belt,49.0,7.6,4.0,Single disc,Single disc
18,Scooter,"Single cylinder, two-stroke",Belt,49.0,6.5,2.0,Single disc,Expanding brake (drum brake)
20,Super motard,"Single cylinder, four-stroke",Chain,124.8,10.0,15.0,Single disc,Single disc
22,Naked bike,"V2, four-stroke",Chain,896.0,15.0,95.0,Double disc,Single disc
23,Naked bike,"Single cylinder, four-stroke",Chain,124.2,14.5,15.0,Single disc,Single disc
25,Naked bike,"V4, four-stroke",Chain,1077.0,18.5,175.0,Double disc,Single disc
26,Naked bike,"V4, four-stroke",Chain,1077.0,18.5,175.0,Double disc,Single disc
27,Naked bike,"V4, four-stroke",Chain,1077.0,18.5,175.0,Double disc,Single disc
31,Enduro / offroad,"Twin, four-stroke",Chain,853.0,15.0,77.0,Double disc,Single disc
32,Enduro / offroad,"Twin, four-stroke",Chain,853.0,15.0,77.0,Double disc,Single disc
33,Enduro / offroad,"Twin, four-stroke",Chain,853.0,15.0,90.0,Double disc,Single disc
34,Enduro / offroad,"Twin, four-stroke",Chain,853.0,23.0,90.0,Double disc,Single disc
35,Enduro / offroad,"Twin, four-stroke",Chain,853.0,15.0,76.4,Double disc,Single disc
36,Sport,"Single cylinder, four-stroke",Chain,313.0,11.5,33.5,Single disc,Single disc
47,Enduro / offroad,"Two cylinder boxer, four-stroke",Shaft drive (cardan),1254.0,20.0,136.0,Double disc,Single disc
49,Naked bike,"Twin, four-stroke",Shaft drive (cardan),1254.0,15.14,136.0,Double disc,Single disc
50,Enduro / offroad,"Two cylinder boxer, four-stroke",Shaft drive (cardan),1254.0,18.0,136.0,Double disc,Single disc
51,Custom / cruiser,"Two cylinder boxer, four-stroke",Shaft drive (cardan),1802.0,16.01,91.0,Double disc,Single disc
52,Custom / cruiser,"Two cylinder boxer, four-stroke",Shaft drive (cardan),1802.0,16.01,91.0,Double disc,Single disc
54,Sport,"Two cylinder boxer, four-stroke",Shaft drive (cardan),1170.0,17.0,109.0,Double disc,Single disc
55,Naked bike,"Two cylinder boxer, four-stroke",Shaft drive (cardan),1170.0,18.0,107.3,Double disc,Single disc
56,Naked bike,"Two cylinder boxer, four-stroke",Shaft drive (cardan),1170.0,17.0,107.3,Double disc,Single disc
57,Naked bike,"Single cylinder, four-stroke",Shaft drive (cardan),1170.0,17.0,107.3,Double disc,Single disc
58,Naked bike,"In-line four, four-stroke",Chain,999.0,17.5,165.0,Double disc,Single disc
60,Sport,"In-line four, four-stroke",Chain,999.0,20.0,165.0,Double disc,Single disc
61,Custom / cruiser,"Twin, four-stroke",Chain,220.0,13.0,18.8,Single disc,Expanding brake (drum brake)
62,Allround,"Single cylinder, four-stroke",Chain,102.0,10.5,7.8,Expanding brake (drum brake),Expanding brake (drum brake)
63,Allround,"Single cylinder, four-stroke",Chain,102.0,10.5,7.8,Expanding brake (drum brake),Expanding brake (drum brake)
64,Allround,"Single cylinder, four-stroke",Chain,115.5,10.5,8.5,Expanding brake (drum brake),Expanding brake (drum brake)
65,Allround,"Single cylinder, four-stroke",Chain,115.5,10.5,8.5,Expanding brake (drum brake),Expanding brake (drum brake)
70,Allround,"Single cylinder, four-stroke",Chain,102.0,11.0,7.8,Single disc,Expanding brake (drum brake)
71,Allround,"Single cylinder, four-stroke",Chain,115.5,11.0,8.5,Single disc,Expanding brake (drum brake)
74,Sport,"Single cylinder, four-stroke",Chain,178.6,15.0,16.8,Single disc,Single disc
76,Sport,"Single cylinder, four-stroke",Chain,160.3,12.0,17.0,Single disc,Single disc
77,Sport,"Single cylinder, four-stroke",Chain,199.5,12.0,24.1,Single disc,Single disc
78,Sport,"Single cylinder, four-stroke",Chain,199.5,13.0,24.1,Double disc,Single disc
79,Naked bike,"Single cylinder, four-stroke",Chain,600.0,14.0,62.0,Double disc,Single disc
80,Naked bike,"Single cylinder, four-stroke",Chain,600.0,14.0,62.0,Double disc,Single disc
81,Naked bike,"Single cylinder, four-stroke",Chain,600.0,14.0,62.0,Double disc,Single disc
82,Naked bike,"Single cylinder, four-stroke",Chain,600.0,14.0,62.0,Double disc,Single disc
83,Classic,"Single cylinder, four-stroke",Chain,600.0,14.0,55.0,Single disc,Single disc
84,Classic,"Single cylinder, four-stroke",Chain,600.0,14.0,55.0,Single disc,Single disc
85,Naked bike,"Single cylinder, four-stroke",Chain,600.0,14.0,55.0,Single disc,Single disc
86,Naked bike,"Single cylinder, four-stroke",Chain,600.0,14.0,55.0,Single disc,Single disc
87,Naked bike,"Single cylinder, four-stroke",Chain,600.0,14.0,55.0,Single disc,Single disc
88,Naked bike,"Single cylinder, four-stroke",Chain,600.0,14.0,55.0,Single disc,Single disc
89,Naked bike,"Single cylinder, four-stroke",Chain,600.0,14.0,62.0,Double disc,Single disc
90,Naked bike,"Single cylinder, four-stroke",Chain,600.0,14.0,55.0,Single disc,Single disc
93,Enduro / offroad,"Single cylinder, four-stroke",Chain,229.5,15.0,16.1,Single disc,Single disc
94,Enduro / offroad,"Single cylinder, four-stroke",Chain,229.5,15.0,16.1,Single disc,Single disc
95,Classic,"Twin, four-stroke",Chain,229.0,15.0,16.9,Single disc,Single disc
96,Classic,"Single cylinder, four-stroke",Chain,397.0,15.0,42.0,Double disc,Single disc
99,Naked bike,"Single cylinder, four-stroke",Chain,229.0,15.0,15.4,Single disc,Single disc
101,Sport,"V2, four-stroke",Chain,1917.0,14.19,120.0,Double disc,Single disc
111,Allround,"V2, four-stroke",Chain,1262.0,17.0,162.0,Double disc,Single disc
112,Super motard,"V2, four-stroke",Chain,937.0,14.5,114.0,Double disc,Single disc
113,Super motard,"V2, four-stroke",Chain,937.0,14.5,114.0,Double disc,Single disc
114,Super motard,"V2, four-stroke",Chain,937.0,14.5,114.0,Double disc,Single disc
115,Naked bike,"V2, four-stroke",Chain,937.0,14.0,111.0,Double disc,Single disc
116,Allround,"V2, four-stroke",Chain,937.0,20.0,113.0,Double disc,Single disc
117,Allround,"V2, four-stroke",Chain,937.0,20.0,113.0,Double disc,Single disc
118,Sport,"V2, four-stroke",Chain,1158.0,22.0,179.0,Double disc,Single disc
119,Sport,"V2, four-stroke",Chain,1158.0,22.0,179.0,Double disc,Single disc
120,Sport,"V2, four-stroke",Chain,1158.0,22.0,179.0,Double disc,Single disc
121,Sport,"V2, four-stroke",Chain,955.0,17.0,155.0,Double disc,Single disc
123,Classic,"V2, four-stroke",Chain,1079.0,15.0,86.0,Double disc,Single disc
124,Enduro / offroad,"V2, four-stroke",Chain,803.0,13.5,73.0,Single disc,Single disc
125,Allround,"V2, four-stroke",Chain,803.0,13.5,71.9,Double disc,Single disc
126,Allround,"V2, four-stroke",Chain,803.0,13.5,73.0,Double disc,Single disc
128,Sport,"V2, four-stroke",Chain,937.0,16.0,110.0,Double disc,Single disc
129,Sport,"V2, four-stroke",Chain,937.0,16.0,110.0,Double disc,Single disc
130,Sport,"V4, four-stroke",Belt,1262.0,18.0,160.0,Double disc,Single disc
131,Sport,"V4, four-stroke",Belt,1262.0,18.0,160.0,Double disc,Single disc
132,Sport,"V4, four-stroke",Belt,1262.0,18.0,160.0,Double disc,Single disc
143,Cross / motocross,"Single cylinder, two-stroke",Chain,124.8,7.0,40.0,Single disc,Single disc
144,Cross / motocross,"Single cylinder, four-stroke",Chain,249.9,7.0,46.0,Single disc,Single disc
166,Touring,"V2, four-stroke",Belt,1923.0,22.71,105.0,Double disc,Single disc
167,Touring,"V2, four-stroke",Belt,1923.0,22.71,105.0,Double disc,Single disc
168,Touring,"V2, four-stroke",Belt,1923.0,22.71,105.0,Double disc,Single disc
169,Touring,"V2, four-stroke",Belt,1917.4,22.71,105.0,Double disc,Single disc
170,Touring,"V2, four-stroke",Belt,1746.0,22.71,90.0,Double disc,Single disc
171,Custom / cruiser,"V2, four-stroke",Belt,1868.0,13.6,94.0,Double disc,Single disc
172,Custom / cruiser,"V2, four-stroke",Belt,1868.0,18.93,100.0,Double disc,Single disc
173,Custom / cruiser,"V2, four-stroke",Belt,1202.0,7.9,65.0,Single disc,Single disc
174,Custom / cruiser,"V2, four-stroke",Belt,1868.0,22.71,100.0,Double disc,Single disc
175,Custom / cruiser,"V2, four-stroke",Belt,1746.0,18.9,86.0,Single disc,Single disc
178,Custom / cruiser,"V2, four-stroke",Belt,883.0,12.5,51.0,Single disc,Single disc
181,Touring,"V2, four-stroke",Belt,1746.0,22.71,89.0,Double disc,Single disc
182,Touring,"V2, four-stroke",Belt,1868.0,22.71,89.0,Double disc,Single disc
183,Touring,"V2, four-stroke",Belt,1868.0,22.71,100.0,Double disc,Single disc
184,Touring,"V2, four-stroke",Belt,1746.0,22.71,89.0,Double disc,Single disc
185,Touring,"V2, four-stroke",Belt,1868.0,22.71,100.0,Double disc,Single disc
186,Custom / cruiser,"V2, four-stroke",Belt,1746.0,18.9,86.0,Single disc,Single disc
188,Custom / cruiser,"V2, four-stroke",Belt,1746.0,18.93,86.0,Double disc,Single disc
190,Touring,"V2, four-stroke",Belt,1746.0,22.71,89.0,Double disc,Single disc
191,Touring,"V2, four-stroke",Belt,1868.0,22.7,100.0,Double disc,Single disc
192,Touring,"V2, four-stroke",Belt,1868.0,22.71,100.0,Double disc,Single disc
193,Touring,"V2, four-stroke",Belt,1868.0,22.71,100.0,Double disc,Single disc
194,Scooter,"Single cylinder, four-stroke",Shaft drive (cardan),124.6,5.0,9.0,Expanding brake (drum brake),Expanding brake (drum brake)
195,Sport,"Single cylinder, four-stroke",Chain,124.7,10.0,10.7,Single disc,Expanding brake (drum brake)
196,Sport,"Single cylinder, four-stroke",Chain,97.2,9.6,7.9,Expanding brake (drum brake),Expanding brake (drum brake)
197,Scooter,"Single cylinder, four-stroke",Chain,110.9,5.0,8.1,Expanding brake (drum brake),Expanding brake (drum brake)
198,Scooter,"Single cylinder, four-stroke",Chain,124.6,5.0,9.0,Expanding brake (drum brake),Expanding brake (drum brake)
199,Sport,"Single cylinder, four-stroke",Chain,113.0,10.0,9.0,Single disc,Expanding brake (drum brake)
200,Scooter,"Single cylinder, four-stroke",Shaft drive (cardan),110.9,4.8,8.1,Expanding brake (drum brake),Expanding brake (drum brake)
201,Sport,"Single cylinder, four-stroke",Chain,97.2,9.8,7.5,Expanding brake (drum brake),Expanding brake (drum brake)
202,Sport,"Single cylinder, four-stroke",Chain,97.2,9.6,7.5,Expanding brake (drum brake),Expanding brake (drum brake)
204,Sport,"Single cylinder, four-stroke",Chain,124.7,12.0,10.7,Single disc,Expanding brake (drum brake)
205,Allround,"Single cylinder, four-stroke",Chain,199.6,13.0,17.8,Single disc,Single disc
206,Sport,"Single cylinder, four-stroke",Chain,199.6,12.8,17.8,Single disc,Single disc
207,Sport,"Single cylinder, four-stroke",Chain,163.0,12.0,15.0,Single disc,Single disc
209,Enduro / offroad,"Twin, four-stroke",Chain,1084.0,18.8,101.0,Double disc,Single disc
210,Naked bike,"In-line four, four-stroke",Chain,998.0,16.3,143.5,Double disc,Single disc
211,Naked bike,"In-line four, four-stroke",Chain,998.0,16.2,143.5,Double disc,Single disc
212,Allround,"Single cylinder, four-stroke",Chain,123.9,13.0,10.5,Single disc,Expanding brake (drum brake)
213,Sport,"Single cylinder, four-stroke",Chain,124.9,10.0,14.8,Single disc,Single disc
214,Naked bike,"Twin, four-stroke",Chain,471.0,17.0,46.4,Single disc,Single disc
215,Sport,"Twin, four-stroke",Chain,471.0,17.7,46.4,Double disc,Single disc
216,Naked bike,"In-line four, four-stroke",Chain,649.0,15.4,93.9,Double disc,Single disc
217,Sport,"In-line four, four-stroke",Chain,998.0,16.3,143.5,Double disc,Single disc
218,Sport,"Twin, four-stroke",Chain,471.0,17.1,46.9,Double disc,Single disc
219,Sport,"In-line four, four-stroke",Chain,599.0,18.0,118.0,Double disc,Single disc
220,Sport,"In-line four, four-stroke",Chain,649.0,15.4,93.9,Double disc,Single disc
221,Cross / motocross,"Single cylinder, four-stroke",Chain,149.0,4.2,23.5,Single disc,Single disc
224,Enduro / offroad,"Single cylinder, four-stroke",Chain,286.0,12.8,27.0,Single disc,Single disc
225,Cross / motocross,"Single cylinder, four-stroke",Chain,286.0,7.8,27.0,Single disc,Single disc
228,Cross / motocross,"Single cylinder, four-stroke",Chain,449.7,6.43,53.0,Single disc,Single disc
229,Cross / motocross,"Single cylinder, four-stroke",Chain,449.0,7.57,53.0,Single disc,Single disc
231,Scooter,"Single cylinder, four-stroke",Belt,124.9,11.5,14.8,Single disc,Single disc
232,Scooter,"Single cylinder, four-stroke",Belt,329.6,11.5,28.4,Single disc,Single disc
236,Sport,"Single cylinder, four-stroke",Chain,124.9,6.0,9.7,Single disc,Single disc
238,Super motard,"Twin, four-stroke",Chain,745.0,14.1,57.8,Single disc,Single disc
239,Scooter,"Single cylinder, four-stroke",Belt,125.0,8.0,12.3,Single disc,Expanding brake (drum brake)
241,Scooter,"Single cylinder, four-stroke",Belt,125.0,5.5,11.3,Single disc,Expanding brake (drum brake)
242,Scooter,"Single cylinder, four-stroke",Belt,329.2,9.1,29.0,Single disc,Single disc
245,Scooter,"Single cylinder, four-stroke",Belt,109.5,5.5,8.7,Single disc,Expanding brake (drum brake)
246,Allround,"V2, four-stroke",Chain,745.0,13.2,57.8,Double disc,Single disc
248,Enduro / offroad,"Single cylinder, four-stroke",Chain,692.7,13.0,73.8,Single disc,Single disc
249,Super motard,"Single cylinder, four-stroke",Chain,692.7,13.0,73.8,Single disc,Single disc
250,Cross / motocross,"Single cylinder, four-stroke",Chain,249.9,7.0,46.0,Single disc,Single disc
251,Cross / motocross,"Single cylinder, four-stroke",Chain,349.7,7.0,58.0,Single disc,Single disc
252,Cross / motocross,"Single cylinder, four-stroke",Chain,449.9,7.0,63.0,Single disc,Single disc
253,Cross / motocross,"Single cylinder, four-stroke",Chain,449.9,7.0,63.0,Single disc,Single disc
254,Enduro / offroad,"Single cylinder, four-stroke",Chain,249.9,8.5,46.0,Single disc,Single disc
257,Enduro / offroad,"Single cylinder, four-stroke",Chain,449.9,8.5,63.0,Single disc,Single disc
260,Super motard,"Single cylinder, four-stroke",Chain,449.9,7.0,63.0,Single disc,Single disc
261,Enduro / offroad,"Single cylinder, four-stroke",Chain,349.7,8.5,58.0,Single disc,Single disc
262,Enduro / offroad,"Single cylinder, four-stroke",Chain,449.9,8.5,63.0,Single disc,Single disc
263,Cross / motocross,"Single cylinder, two-stroke",Chain,124.8,8.0,40.0,Single disc,Single disc
274,Custom / cruiser,"V2, four-stroke",Belt,1769.9,22.7,122.0,Double disc,Single disc
275,Custom / cruiser,"V2, four-stroke",Belt,1769.9,22.7,122.0,Double disc,Single disc
279,Custom / cruiser,"V2, four-stroke",Belt,1901.0,20.8,92.0,Double disc,Single disc
280,Custom / cruiser,"V2, four-stroke",Belt,1203.0,12.9,123.0,Double disc,Single disc
281,Custom / cruiser,"V2, four-stroke",Belt,1203.0,12.9,123.0,Double disc,Single disc
282,Custom / cruiser,"V2, four-stroke",Belt,1203.0,13.0,123.0,Double disc,Single disc
283,Touring,"V2, four-stroke",Belt,1901.0,20.8,92.0,Double disc,Single disc
284,Touring,"V2, four-stroke",Belt,1901.0,20.8,92.0,Double disc,Single disc
285,Touring,"V2, four-stroke",Belt,1901.0,20.8,92.0,Double disc,Single disc
286,Touring,"V2, four-stroke",Belt,1901.0,20.8,92.0,Double disc,Single disc
287,Custom / cruiser,"V2, four-stroke",Belt,1133.0,12.5,100.0,Single disc,Single disc
288,Custom / cruiser,"V2, four-stroke",Belt,1133.0,12.5,100.0,Single disc,Single disc
289,Custom / cruiser,"V2, four-stroke",Belt,999.0,12.5,78.0,Single disc,Single disc
290,Custom / cruiser,"V2, four-stroke",Belt,1133.0,12.5,100.0,Single disc,Single disc
291,Custom / cruiser,"V2, four-stroke",Belt,999.0,12.5,78.0,Single disc,Single disc
292,Touring,"V2, four-stroke",Belt,1811.0,20.8,92.0,Double disc,Single disc
293,Touring,"V2, four-stroke",Belt,1890.0,20.8,92.0,Double disc,Single disc
294,Custom / cruiser,"V2, four-stroke",Belt,1811.0,20.8,92.0,Double disc,Single disc
295,Custom / cruiser,"V2, four-stroke",Belt,1811.0,20.8,92.0,Double disc,Single disc
301,Sport,"Single cylinder, four-stroke",Chain,125.0,7.5,10.7,Single disc,Single disc
302,Scooter,"Single cylinder, four-stroke",Belt,50.0,5.5,3.1,Single disc,Expanding brake (drum brake)
303,Scooter,"Single cylinder, four-stroke",Chain,125.0,7.5,7.2,Single disc,Expanding brake (drum brake)
305,Scooter,"Single cylinder, four-stroke",Belt,49.6,5.0,28.2,Single disc,Expanding brake (drum brake)
306,Scooter,"Single cylinder, four-stroke",Belt,125.0,6.0,9.1,Single disc,Single disc
307,Scooter,"Single cylinder, four-stroke",Belt,50.0,5.5,3.1,Single disc,Expanding brake (drum brake)
316,Naked bike,"Single cylinder, four-stroke",Chain,125.0,13.4,15.0,Single disc,Single disc
317,Enduro / offroad,"Single cylinder, two-stroke",Chain,124.8,7.5,15.0,Single disc,Single disc
318,Enduro / offroad,"Single cylinder, two-stroke",Chain,124.8,7.5,15.0,Single disc,Single disc
319,Allround,"V2, four-stroke",Chain,1301.0,23.0,160.0,Double disc,Single disc
335,Enduro / offroad,"Single cylinder, four-stroke",Chain,349.7,9.0,45.0,Single disc,Single disc
339,Enduro / offroad,"Single cylinder, four-stroke",Chain,373.2,14.5,43.0,Double disc,Single disc
340,Naked bike,"Single cylinder, four-stroke",Chain,373.0,13.4,44.0,Double disc,Single disc
344,Cross / motocross,"Single cylinder, four-stroke",Chain,449.3,7.0,63.0,Single disc,Single disc
345,Cross / motocross,"Single cylinder, four-stroke",Chain,449.3,7.0,63.0,Single disc,Single disc
354,Naked bike,"Twin, four-stroke",Chain,889.0,14.0,114.0,Single disc,Single disc
379,Sport,"In-line four, four-stroke",Chain,1043.0,17.0,140.1,Double disc,Single disc
381,Sport,"Twin, four-stroke",Chain,649.0,15.14,52.3,Double disc,Single disc
382,Sport,"Twin, four-stroke",Chain,649.0,15.0,50.7,Double disc,Single disc
383,Sport,"Twin, four-stroke",Chain,649.0,15.0,67.3,Double disc,Single disc
391,Sport,"In-line four, four-stroke",Chain,636.0,17.0,126.2,Double disc,Single disc
392,Sport,"In-line four, four-stroke",Chain,636.0,17.0,126.9,Double disc,Single disc
393,Allround,"In-line four, four-stroke",Chain,1043.0,21.0,120.0,Double disc,Single disc
394,Sport touring,"In-line four, four-stroke",Chain,1043.0,20.82,120.0,Double disc,Single disc
395,Allround,"Twin, four-stroke",Chain,649.0,21.0,69.0,Double disc,Single disc
396,Allround,"Twin, four-stroke",Chain,649.0,21.0,52.3,Double disc,Single disc
399,Touring,"V2, four-stroke",Belt,1700.0,20.06,73.0,Double disc,Single disc
400,Custom / cruiser,"V2, four-stroke",Belt,903.0,20.0,49.6,Single disc,Single disc
401,Custom / cruiser,"V2, four-stroke",Belt,903.0,20.0,49.6,Single disc,Single disc
402,Custom / cruiser,"V2, four-stroke",Belt,903.0,20.0,49.6,Single disc,Single disc
403,Custom / cruiser,"Twin, four-stroke",Chain,649.0,14.0,60.4,Double disc,Single disc
404,Custom / cruiser,"Twin, four-stroke",Chain,649.0,14.0,48.0,Double disc,Single disc
405,Custom / cruiser,"Twin, four-stroke",Chain,649.0,14.0,46.9,Double disc,Single disc
407,Allround,"V4, four-stroke",Chain,773.0,15.0,46.9,Single disc,Single disc
410,Naked bike,"In-line four, four-stroke",Chain,1043.0,17.0,140.1,Double disc,Single disc
411,Naked bike,"Single cylinder, four-stroke",Chain,125.0,7.57,14.8,Single disc,Single disc
412,Classic,"Twin, four-stroke",Chain,399.0,14.0,27.0,Single disc,Single disc
413,Naked bike,"Twin, four-stroke",Chain,649.0,15.14,67.3,Double disc,Single disc
414,Naked bike,"Twin, four-stroke",Chain,649.0,15.0,50.7,Double disc,Single disc
415,Naked bike,"Twin, four-stroke",Chain,649.0,15.0,50.7,Double disc,Single disc
417,Naked bike,"In-line four, four-stroke",Chain,948.0,17.03,93.9,Double disc,Single disc
418,Classic,"In-line four, four-stroke",Chain,948.0,17.03,110.0,Double disc,Single disc
419,Classic,"In-line four, four-stroke",Chain,948.0,17.03,110.0,Double disc,Single disc
420,Scooter,"Single cylinder, four-stroke",Chain,109.0,3.7,6.0,Single disc,Expanding brake (drum brake)
421,Scooter,"Single cylinder, four-stroke",Belt,125.0,6.0,9.0,Single disc,Single disc
423,Custom / cruiser,"Single cylinder, four-stroke",Chain,124.8,11.8,10.5,Single disc,Single disc
425,Custom / cruiser,"Twin, four-stroke",Chain,248.9,14.0,12.8,Single disc,Expanding brake (drum brake)
426,Naked bike,"Single cylinder, four-stroke",Chain,124.1,10.0,12.6,Single disc,Single disc
427,Sport,"Single cylinder, four-stroke",Chain,124.1,15.0,12.6,Single disc,Single disc
428,Sport,"Single cylinder, four-stroke",Chain,124.1,16.0,11.4,Single disc,Single disc
429,Sport,"Single cylinder, four-stroke",Chain,124.1,16.0,11.3,Single disc,Single disc
430,Allround,"Single cylinder, four-stroke",Chain,148.0,16.0,11.0,Single disc,Expanding brake (drum brake)
431,Scooter,"Single cylinder, two-stroke",Belt,49.2,6.0,3.4,Single disc,Expanding brake (drum brake)
432,Scooter,"Single cylinder, four-stroke",Belt,123.6,4.9,8.1,Single disc,Expanding brake (drum brake)
433,Custom / cruiser,"Single cylinder, four-stroke",Chain,124.0,15.0,10.5,Single disc,Expanding brake (drum brake)
434,Custom / cruiser,"Single cylinder, four-stroke",Chain,124.0,15.0,10.5,Single disc,Expanding brake (drum brake)
435,Enduro / offroad,"Single cylinder, four-stroke",Chain,125.0,9.0,10.7,Single disc,Single disc
436,Super motard,"Single cylinder, four-stroke",Chain,124.8,11.2,11.5,Single disc,Single disc
437,Sport,"Single cylinder, four-stroke",Chain,49.0,4.2,3.0,Single disc,Expanding brake (drum brake)
438,Scooter,"Single cylinder, four-stroke",Belt,125.0,5.0,8.1,Single disc,Single disc
442,Scooter,"Single cylinder, four-stroke",Belt,124.6,4.92,9.3,Single disc,Expanding brake (drum brake)
444,Naked bike,"Single cylinder, four-stroke",Chain,123.6,4.54,6.7,Single disc,Expanding brake (drum brake)
445,ATV,"Single cylinder, four-stroke",Chain,149.0,8.1,10.9,Expanding brake (drum brake),Single disc
446,ATV,"Single cylinder, four-stroke",Shaft drive (cardan),270.0,12.49,21.8,Single disc,Single disc
447,ATV,"Single cylinder, four-stroke",Shaft drive (cardan),270.0,12.98,19.0,Single disc,Single disc
448,ATV,"Single cylinder, four-stroke",Shaft drive (cardan),443.0,14.99,31.5,Single disc,Single disc
449,ATV,"Single cylinder, four-stroke",Belt,501.0,16.5,33.5,Double disc,Single disc
450,ATV,"Single cylinder, four-stroke",Shaft drive (cardan),695.0,21.01,44.0,Double disc,Single disc
451,ATV,"Single cylinder, four-stroke",Shaft drive (cardan),695.0,21.01,44.0,Double disc,Single disc
452,ATV,"Single cylinder, four-stroke",Belt,443.0,15.0,31.5,Double disc,Single disc
456,Scooter,"Single cylinder, four-stroke",Belt,151.0,4.92,10.5,Single disc,Expanding brake (drum brake)
458,Scooter,"Single cylinder, four-stroke",Belt,275.6,12.5,24.1,Single disc,Single disc
459,Scooter,"Single cylinder, four-stroke",Belt,124.7,6.5,10.1,Single disc,Single disc
461,Scooter,"Single cylinder, four-stroke",Belt,168.9,6.5,11.9,Single disc,Single disc
462,Scooter,"Single cylinder, four-stroke",Belt,169.0,6.5,11.8,Single disc,Single disc
463,Scooter,"Single cylinder, four-stroke",Belt,49.5,6.5,3.5,Single disc,Expanding brake (drum brake)
464,Scooter,"Single cylinder, four-stroke",Belt,49.6,6.5,3.5,Single disc,Expanding brake (drum brake)
465,Custom / cruiser,"Twin, four-stroke",Chain,124.6,14.0,12.1,Double disc,Single disc
467,Naked bike,"Single cylinder, four-stroke",Chain,49.0,12.0,3.0,Single disc,Expanding brake (drum brake)
469,Allround,"Single cylinder, four-stroke",Chain,49.6,12.0,3.4,Single disc,Expanding brake (drum brake)
470,Sport,"Single cylinder, four-stroke",Chain,124.0,13.5,12.1,Single disc,Single disc
471,Sport,"Twin, four-stroke",Chain,378.0,13.5,35.0,Double disc,Single disc
472,Sport,"Single cylinder, four-stroke",Chain,124.0,13.5,12.1,Double disc,Single disc
474,Allround,"Single cylinder, four-stroke",Chain,125.0,13.0,9.7,Single disc,Single disc
478,Allround,"Single cylinder, four-stroke",Chain,125.0,18.0,9.4,Single disc,Single disc
479,Allround,"Single cylinder, four-stroke",Chain,125.0,12.0,10.6,Single disc,Single disc
480,Enduro / offroad,"Single cylinder, four-stroke",Chain,125.0,7.2,11.2,Single disc,Single disc
481,Naked bike,"Single cylinder, four-stroke",Chain,125.0,16.0,11.0,Single disc,Single disc
482,Naked bike,"Single cylinder, four-stroke",Chain,125.0,18.0,11.0,Single disc,Single disc
483,Enduro / offroad,"Single cylinder, four-stroke",Chain,125.0,6.5,15.0,Single disc,Single disc
484,Sport,"Single cylinder, four-stroke",Chain,125.0,20.0,11.0,Single disc,Single disc
485,Sport,"Single cylinder, four-stroke",Chain,125.0,20.0,11.0,Single disc,Single disc
486,Sport,"Single cylinder, four-stroke",Chain,125.0,18.0,11.0,Single disc,Single disc
487,Super motard,"Single cylinder, four-stroke",Chain,125.0,14.5,11.0,Single disc,Single disc
488,Naked bike,"In-line three, four-stroke",Chain,798.0,16.5,110.0,Double disc,Single disc
489,Naked bike,"In-line three, four-stroke",Chain,798.0,16.5,110.0,Double disc,Single disc
490,Sport,"In-line three, four-stroke",Chain,798.0,16.5,148.0,Double disc,Single disc
492,Sport,"In-line three, four-stroke",Chain,798.0,16.5,148.0,Double disc,Single disc
493,Sport,"In-line three, four-stroke",Chain,798.0,16.5,148.0,Double disc,Single disc
494,Sport,"In-line three, four-stroke",Chain,798.0,16.5,147.0,Double disc,Single disc
495,Sport,"In-line three, four-stroke",Chain,798.0,21.5,110.0,Double disc,Single disc
496,Sport,"In-line three, four-stroke",Chain,798.0,21.5,110.0,Double disc,Single disc
508,Allround,"Single cylinder, four-stroke",Chain,106.7,12.7,8.5,Single disc,Expanding brake (drum brake)
509,Allround,"Single cylinder, four-stroke",Chain,106.7,12.7,8.5,Expanding brake (drum brake),Expanding brake (drum brake)
510,Allround,"Single cylinder, four-stroke",Chain,106.7,12.7,8.5,Expanding brake (drum brake),Expanding brake (drum brake)
511,Scooter,"Single cylinder, four-stroke",Chain,109.6,6.0,8.1,Expanding brake (drum brake),Expanding brake (drum brake)
512,Scooter,"Single cylinder, four-stroke",Chain,124.6,6.0,8.6,Expanding brake (drum brake),Expanding brake (drum brake)
524,Naked bike,"V2, four-stroke",Shaft drive (cardan),1380.0,20.5,96.0,Double disc,Single disc
525,Touring,"V2, four-stroke",Shaft drive (cardan),1380.0,20.5,96.0,Double disc,Single disc
526,Allround,"V2, four-stroke",Shaft drive (cardan),1380.0,20.5,96.0,Double disc,Single disc
527,Custom / cruiser,"V2, four-stroke",Shaft drive (cardan),1380.0,20.5,96.6,Double disc,Single disc
